"care_site_id","care_site_name","place_of_service_concept_id","location_id","care_site_source_value","place_of_service_source_value"
1,NA,8717,NA,"2600GD","Inpatient Facility"
2,NA,8756,NA,"2600RA","Outpatient Facility"
3,NA,8940,NA,"815501822",NA
4,NA,8940,NA,"272401260",NA
5,NA,8940,NA,"017191654",NA
6,NA,8940,NA,"396635013",NA
7,NA,8940,NA,"631138902",NA
8,NA,8717,NA,"3913XU","Inpatient Facility"
9,NA,8717,NA,"3900MB","Inpatient Facility"
10,NA,8717,NA,"3900HM","Inpatient Facility"
11,NA,8756,NA,"3901GS","Outpatient Facility"
12,NA,8756,NA,"3939PG","Outpatient Facility"
13,NA,8940,NA,"673314266",NA
14,NA,8940,NA,"028262926",NA
15,NA,8940,NA,"027730834",NA
16,NA,8940,NA,"335324178",NA
17,NA,8940,NA,"602380861",NA
18,NA,8940,NA,"958903309",NA
19,NA,8940,NA,"802066794",NA
20,NA,8940,NA,"392434615",NA
21,NA,8940,NA,"520685962",NA
22,NA,8940,NA,"065421355",NA
23,NA,8940,NA,"774790844",NA
24,NA,8940,NA,"283448024",NA
25,NA,8940,NA,"766012956",NA
26,NA,8940,NA,"147356969",NA
27,NA,8940,NA,"747728912",NA
28,NA,8940,NA,"486490229",NA
29,NA,8940,NA,"552474087",NA
30,NA,8940,NA,"869428732",NA
31,NA,8940,NA,"522349074",NA
32,NA,8940,NA,"611114272",NA
33,NA,8940,NA,"418381668",NA
34,NA,8940,NA,"601470526",NA
35,NA,8940,NA,"416739036",NA
36,NA,8940,NA,"286648215",NA
37,NA,8940,NA,"261207652",NA
38,NA,8940,NA,"799584605",NA
39,NA,8940,NA,"099596970",NA
40,NA,8940,NA,"532092265",NA
41,NA,8940,NA,"802470820",NA
42,NA,8940,NA,"677139342",NA
43,NA,8940,NA,"842627964",NA
44,NA,8940,NA,"913297064",NA
45,NA,8756,NA,"3902NU","Outpatient Facility"
46,NA,8940,NA,"633072900",NA
47,NA,8940,NA,"253939835",NA
48,NA,8940,NA,"002355312",NA
49,NA,8940,NA,"669037057",NA
50,NA,8756,NA,"5200TV","Outpatient Facility"
51,NA,8756,NA,"5200YU","Outpatient Facility"
52,NA,8756,NA,"5213RM","Outpatient Facility"
53,NA,8756,NA,"5213ZG","Outpatient Facility"
54,NA,8940,NA,"982048809",NA
55,NA,8940,NA,"890488967",NA
56,NA,8940,NA,"763091466",NA
57,NA,8940,NA,"384544870",NA
58,NA,8940,NA,"255271799",NA
59,NA,8940,NA,"782333277",NA
60,NA,8940,NA,"642129460",NA
61,NA,8940,NA,"757160257",NA
62,NA,8940,NA,"938529944",NA
63,NA,8940,NA,"028588440",NA
64,NA,8940,NA,"275297936",NA
65,NA,8940,NA,"650282132",NA
66,NA,8940,NA,"535966507",NA
67,NA,8940,NA,"837840541",NA
68,NA,8940,NA,"952411296",NA
69,NA,8940,NA,"211398452",NA
70,NA,8940,NA,"355063226",NA
71,NA,8940,NA,"113194177",NA
72,NA,8940,NA,"873936919",NA
73,NA,8940,NA,"737705460",NA
74,NA,8756,NA,"3901AU","Outpatient Facility"
75,NA,8756,NA,"3900RQ","Outpatient Facility"
76,NA,8756,NA,"3900DJ","Outpatient Facility"
77,NA,8940,NA,"149479264",NA
78,NA,8940,NA,"754947268",NA
79,NA,8940,NA,"117749059",NA
80,NA,8940,NA,"623148611",NA
81,NA,8940,NA,"962855584",NA
82,NA,8940,NA,"080944616",NA
83,NA,8940,NA,"456307050",NA
84,NA,8940,NA,"663766179",NA
85,NA,8940,NA,"195655133",NA
86,NA,8940,NA,"959695314",NA
87,NA,8940,NA,"218332301",NA
88,NA,8940,NA,"894841706",NA
89,NA,8940,NA,"566604739",NA
90,NA,8940,NA,"056788890",NA
91,NA,8940,NA,"869565097",NA
92,NA,8940,NA,"038043896",NA
93,NA,8940,NA,"347973187",NA
94,NA,8940,NA,"294540272",NA
95,NA,8940,NA,"397791978",NA
96,NA,8940,NA,"670270714",NA
97,NA,8940,NA,"377587874",NA
98,NA,8940,NA,"009333408",NA
99,NA,8940,NA,"127458657",NA
100,NA,8940,NA,"647025921",NA
101,NA,8940,NA,"128464367",NA
102,NA,8940,NA,"572034265",NA
103,NA,8940,NA,"535062473",NA
104,NA,8940,NA,"542400658",NA
105,NA,8940,NA,"327709735",NA
106,NA,8940,NA,"003418024",NA
107,NA,8940,NA,"326649859",NA
108,NA,8940,NA,"981862112",NA
109,NA,8940,NA,"232439984",NA
110,NA,8940,NA,"408837380",NA
111,NA,8940,NA,"634473413",NA
112,NA,8940,NA,"374815479",NA
